hs_code,대분류 선택                                           
2816,"수산화마그네슘ㆍ과산화마그네슘,스트론튬이나바륨의산화물ㆍ수산화물ㆍ과산화물"
2817,"산화아연 ,과산화아연"
2818,"인조커런덤(corundum)(화학적으로단일한것인지에상관없다),산화알루미늄,수산화알루미늄"
2819,산화크로뮴과수산화크로뮴
2820,산화망간
2821,산화철ㆍ수산화철ㆍ어스컬러(earthcolour)[화합철분의함유량이산화제이철(Fe₂O₃)로서계산하여전중량의100분의70이상인것으로한정한다]
2822,"산화코발트 ,수산화코발트 ,상관례상의  산화코발트"
2823,산화티타늄
2824,산화납ㆍ연단(鉛丹)ㆍ오렌지납
2825,"히드라진ㆍ히드록실아민과이들의무기염,그밖의무기염기ㆍ금속산화물ㆍ금속수산화물ㆍ금속과산화물"
2826,"플루오르화물,플루오르화규산염ㆍ플루오르화알루미늄산염과그밖의플루오르착염"
2827,"염화물ㆍ산화염화물ㆍ수산화염화물,브롬화물ㆍ산화브롬화물과요드화물ㆍ산화요드화물"
2830,황화물과폴리황화물(화학적으로단일한것인지에상관없다)
2831,아이티온산염과술폭실산염
2832,아황산염과티오황산염
2833,황산염ㆍ명반ㆍ과산화황산염(과황산염)
2834,아질산염과질산염
2835,"포스피네이트(하이포아인산염)ㆍ포스포네이트(아인산염)ㆍ인산염,폴리인산염(화학적으로단일한것인지에상관없다)"
2836,"탄산염,과산화탄산염(과탄산염),상관습(商慣習)상의탄산암모늄(카르밤산암모늄을함유한것으로한정한다)"
2837,시안화물ㆍ산화시안화물ㆍ시안착염
2839,규산염과상관습(商慣習)상의알칼리금속의규산염
2840,붕산염과과산화붕산염(과붕산염)
2841,산화금속산염이나과산화금속산염
2842,"그밖의무기산염이나과산화산염(아지드화물은제외하고,화학적으로단일한것인지에상관없으며알루미노실리케이트를포함한다)"
2843,"콜로이드귀금속,귀금속의무기화합물이나유기화합물(화학적으로단일한화합물인지에상관없다),귀금속의아말감(amalgam)"
2844,"방사성원소ㆍ방사성동위원소(핵분열성이나연료핵친원소와동위원소를포함한다)와이들의화합물,이들의물품을함유한혼합물과잔재물"
2845,동위원소(제2844호의것은제외한다)와그동위원소의무기화합물이나유기화합물(화학적으로단일한것인지에상관없다)
2846,희토류(稀土類)금속ㆍ이트륨ㆍ스칸듐이나이들금속혼합물의무기ㆍ유기화합물
2847,과산화수소
2849,탄화물(화학적으로단일한것인지에상관없다)
2850,"수소화물 ,질화물 ,아지화물 ,규화물 ,붕화물"
2853,"기타 무기화합물(증류수 또는 전도도수와 이와 유사한 순도의 물을 포함한다), 액체공기(희가스가 제거된 것인지의 여부를 불문한다), 압축공기 및 아말감(귀금속의 아말감을 제외한다)"
2901,비환식탄화수소
2902,환식탄화수소
2903,탄화수소의할로겐화유도체
2904,탄화수소의술폰화유도체ㆍ니트로화유도체나니트로소화유도체(할로겐화된것인지에상관없다)
2905,비환식알코올과이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체
2906,환식알코올과이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체
2907,페놀과페놀알코올
2908,페놀이나페놀알코올의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체
2909,에테르ㆍ에테르알코올ㆍ에테르페놀ㆍ에테르알코올페놀ㆍ과산화알코올ㆍ과산화에테르ㆍ과산화케톤(화학적으로단일한것인지에상관없다)과이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체
2910,3원고리의에폭시드ㆍ에폭시알코올ㆍ에폭시페놀ㆍ에폭시에테르와이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체
2911,아세탈 .헤미아세탈 .그들의  할로겐화 .술폰화 .니트로화 .니트로소화유도체
2912,"알데히드(그밖의산소관능결합을한것인지에상관없다),알데히드의환식중합체,파라포름알데히드"
2914,케톤ㆍ퀴논(그밖의산소관능결합을한것인지에상관없다)과이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체
2915,"포화비환식모노카르복시산과이들의무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산,이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체"
2916,"불포화비환식모노카르복시산ㆍ환식모노카르복시산과이들의무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산,이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체"
2917,"폴리카르복시산과이들의무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산,이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체"
2918,"추가산소관능을갖는카르복시산과이들의무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산,이들의할로겐유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체"
2919,"인산에스테르와이들의염(락토포스페이트를포함한다),이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체"
2920,"그밖의비(非)금속무기산의에스테르(할로겐화수소의에스테르는제외한다)와이들의염,이들의할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체"
2921,아민관능화합물
2922,산소관능아미노화합물
2923,"제4암모늄염과수산화제4암모늄,레시틴과그밖의포스포아미노리피드(화학적으로단일한것인지에상관없다)"
2924,"카르복시아미드관능화합물,탄산의아미드관능화합물"
2925,카르복시이미드관능화합물(사카린과그염을포함한다)과이민관능화합물
2926,니트릴관능화합물
2927,"디아조화합물 ,아조화합물 ,아족시화합물"
2928,히드라진 .히드록실아민의  유기유도체
2929,그밖의질소관능화합물
2930,유기-황화합물
